timestamp,file_path,file_size,entropy,event_type,file_extension,label
1758867751.7546644,iot_test_files/normal/config_device_0.cfg,55,4.132795450559985,created,.cfg,0
1758867751.755467,iot_test_files/normal/config_device_0.cfg,55,4.132795450559985,modified,.cfg,0
1758867751.7556741,iot_test_files/normal/sensor_data_1.json,55,4.492380568259549,created,.json,0
1758867751.7558212,iot_test_files/normal/sensor_data_1.json,55,4.492380568259549,modified,.json,0
1758867751.7559617,iot_test_files/normal/system_log_2.log,82,4.75865448802291,created,.log,0
1758867751.756092,iot_test_files/normal/system_log_2.log,82,4.75865448802291,modified,.log,0
1758867751.756236,iot_test_files/normal/backup_data_3.dat,145,5.633164738464349,created,.dat,0
1758867751.7563782,iot_test_files/normal/backup_data_3.dat,145,5.633164738464349,modified,.dat,0
1758867751.7565017,iot_test_files/normal/config_device_4.cfg,55,4.1917974959751945,created,.cfg,0
1758867751.7566178,iot_test_files/normal/config_device_4.cfg,55,4.1917974959751945,modified,.cfg,0
1758867751.7567563,iot_test_files/normal/sensor_data_5.json,55,4.506105795571611,created,.json,0
1758867751.756939,iot_test_files/normal/sensor_data_5.json,55,4.506105795571611,modified,.json,0
1758867751.7570868,iot_test_files/normal/system_log_6.log,82,4.76038265204823,created,.log,0
1758867751.7572205,iot_test_files/normal/system_log_6.log,82,4.76038265204823,modified,.log,0
1758867751.7573624,iot_test_files/normal/backup_data_7.dat,145,5.646510038007309,created,.dat,0
1758867751.757491,iot_test_files/normal/backup_data_7.dat,145,5.646510038007309,modified,.dat,0
1758867751.7576354,iot_test_files/normal/config_device_8.cfg,55,4.141708632299495,created,.cfg,0
1758867751.7577627,iot_test_files/normal/config_device_8.cfg,55,4.141708632299495,modified,.cfg,0
1758867751.7578838,iot_test_files/normal/sensor_data_9.json,55,4.367748696036397,created,.json,0
1758867751.758004,iot_test_files/normal/sensor_data_9.json,55,4.367748696036397,modified,.json,0
1758867751.7581298,iot_test_files/normal/system_log_10.log,83,4.782111727629281,created,.log,0
1758867751.7582452,iot_test_files/normal/system_log_10.log,83,4.782111727629281,modified,.log,0
1758867751.758366,iot_test_files/normal/backup_data_11.dat,145,5.670094373539558,created,.dat,0
